Area (sqft),Living Area (sqft),Bedrooms,Bathrooms,Garage,Age of House (years),Location Score,Price (INR),Number of Floors
3102,2470,1,3,0,22,5,14669000,3
2419,1458,5,3,0,3,5,13175500,4
1317,1016,1,2,0,27,9,6536500,1
3382,2509,4,3,0,11,4,16999000,3
1450,1288,5,2,1,14,5,8545000,3
1990,1732,4,1,0,12,6,10415000,4
743,623,4,3,1,1,10,5773500,1
1484,915,2,1,1,19,7,7598000,1
995,717,5,1,0,15,9,6327500,3
2092,1692,1,2,0,13,6,10154000,2
1767,1075,1,3,0,20,1,8501500,3
3216,2157,5,3,0,1,8,16952000,3
1662,1439,2,1,0,16,2,8059000,3
2756,1760,2,1,1,15,9,13502000,3
1665,1024,2,2,1,3,7,8932500,4
1809,1400,1,3,0,10,7,9190500,1
3045,2691,4,2,0,12,10,15562500,4
1233,1048,2,2,0,5,10,6948500,4
1756,1567,1,2,0,16,5,8532000,4
1838,1518,1,3,0,0,8,9571000,3
1332,973,4,2,0,8,10,7934000,2
834,737,5,3,1,20,1,5653000,1
3305,2406,5,2,1,17,3,16732500,2
1350,951,2,1,0,10,9,7125000,4
3235,2375,2,2,0,13,1,15347500,4
1553,1311,4,2,1,1,8,9118500,2
3139,2747,2,3,0,19,6,15245500,2
2142,1515,4,1,0,10,10,11339000,2
1797,1327,1,1,0,1,5,8816500,4
2276,1978,2,3,1,3,6,11832000,4
1791,1099,1,3,0,26,5,8689500,1
2817,2352,3,1,1,12,9,14136500,1
2016,1484,4,3,0,5,2,10872000,4
3442,2453,3,1,0,6,10,16969000,2
3281,2408,2,2,1,21,6,15794500,2
1817,1318,1,2,0,19,4,8696500,1
2140,1769,2,1,1,25,3,10230000,4
2676,2350,3,1,1,2,5,13502000,1
2045,1528,2,2,0,3,2,10242500,1
2986,2537,5,2,1,27,3,15097000,3
2119,1736,3,1,1,20,7,10735500,3
1988,1390,2,3,0,19,1,9816000,3
2456,1906,1,3,0,2,2,12012000,2
1965,1572,2,1,0,0,3,9792500,4
1099,667,1,3,1,18,10,6135500,4
2280,1638,5,2,0,26,7,11990000,4
1110,996,2,2,0,20,4,5795000,4
816,645,5,3,0,12,8,5932000,3
1924,1347,3,1,0,13,8,9898000,2
1755,1184,1,2,1,21,1,8377500,2
2427,1608,3,2,0,27,5,11931500,3
2410,1736,1,2,0,15,1,11295000,2
3092,2034,5,3,0,29,7,15784000,3
1805,1156,4,1,0,28,4,9162500,4
2814,1995,2,3,0,3,8,14203000,3
690,539,5,1,1,16,8,5035000,4
1313,845,1,1,0,9,9,6678500,4
2481,1521,1,3,0,28,6,11804500,1
638,389,1,2,1,6,7,3951000,3
772,525,1,1,0,12,7,4084000,1
1252,822,2,3,1,24,5,6754000,3
1353,1030,3,2,1,12,7,7648500,3
1843,1357,4,1,1,21,9,9873500,1
1681,1172,2,1,1,13,4,8454500,1
2283,1940,1,2,0,5,2,10973500,3
3123,2346,2,1,0,15,8,14953500,2
1055,661,5,3,1,8,7,7187500,4
1428,983,1,1,1,19,6,6996000,1
1494,1332,4,1,1,15,7,8323000,4
1984,1771,1,2,1,20,3,9528000,2
2558,1730,4,3,1,20,6,13361000,2
3034,1972,4,2,0,29,10,15173000,2
2596,1943,3,3,1,11,7,13462000,1
2995,2229,3,2,0,15,7,14827500,2
789,570,2,1,1,4,5,4670500,1
1104,837,2,3,1,23,3,6008000,2
1814,1214,4,3,0,10,2,9863000,4
2131,1352,1,1,1,0,7,10589500,4
1423,1097,5,2,0,9,4,8323500,3
1528,1344,5,3,0,10,2,8876000,4
1533,983,1,1,1,14,8,7668500,3
1740,1411,1,1,1,25,2,8080000,4
733,536,3,3,0,26,6,4578500,1
2705,1861,5,3,0,2,4,14432500,4
1284,1099,4,3,1,23,9,7718000,3
3319,2445,2,1,0,14,5,15705500,3
2820,2185,3,2,1,10,4,14140000,2
2452,1797,5,2,1,8,8,13324000,1
1414,882,1,3,1,1,3,7543000,4
1772,1379,5,1,0,11,9,9904000,2
679,492,4,1,1,19,8,4625500,4
802,502,3,3,0,29,8,4929000,4
3411,2656,1,1,0,15,10,16049500,2
1852,1116,4,1,1,23,5,9674000,2
2299,1523,2,1,0,15,1,10895500,2
